TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1629034463;15/08/2021 13:34:23;26,06;35,8;43,27;1008,42;12,79;207;0;
1629034523;15/08/2021 13:35:23;26,33;35,8;42,79;1008,47;1,22;200;0;
1629034583;15/08/2021 13:36:23;26,43;35,9;42,95;1008,48;4,81;136;0;
1629034643;15/08/2021 13:37:23;26,54;36;42,9;1008,49;14,68;200;0;
1629034703;15/08/2021 13:38:23;26,46;36;42,62;1008,47;2,25;209;0;
1629034763;15/08/2021 13:39:23;26,33;36,1;43,05;1008,46;4,33;161;0;
1629034823;15/08/2021 13:40:23;26,63;36,3;42,47;1008,48;1,45;27;0;
1629034883;15/08/2021 13:41:23;26,64;36,3;42,55;1008,42;9,64;194;0;
1629034943;15/08/2021 13:42:23;26,69;36,6;42,51;1008,45;2,12;74;0;
1629035003;15/08/2021 13:43:23;26,73;36,8;42,55;1008,46;0;120;0;
1629035063;15/08/2021 13:44:23;26,83;36,8;42,54;1008,43;0,45;284;0;
1629035123;15/08/2021 13:45:23;26,98;36,8;42,29;1008,44;3,32;201;0;
1629035184;15/08/2021 13:46:24;26,88;36,9;42,22;1008,37;11,22;205;0;
1629035244;15/08/2021 13:47:24;26,63;36,9;42,75;1008,3;6,15;206;0;
1629035304;15/08/2021 13:48:24;26,52;37,2;43,11;1008,26;12,93;204;0;
1629035364;15/08/2021 13:49:24;26,63;37,2;42,92;1008,24;2,26;196;0;
1629035424;15/08/2021 13:50:24;26,69;37,4;42,85;1008,24;5,02;221;0;
1629035484;15/08/2021 13:51:24;26,63;37,4;42,71;1008,23;9,33;216;0;
1629035544;15/08/2021 13:52:24;26,65;37,2;42,47;1008,14;2,35;284;0;
1629035604;15/08/2021 13:53:24;26,82;37;42,21;1008,11;0;30;0;
1629035664;15/08/2021 13:54:24;26,84;36,8;42,2;1008,06;0;106;0;
1629035724;15/08/2021 13:55:24;26,85;36,6;42,23;1008,07;3,48;354;0;
1629035784;15/08/2021 13:56:24;27,01;36,6;41,89;1008,09;0;220;0;
1629035844;15/08/2021 13:57:24;27,14;36,9;41,66;1008,15;0;178;0;
1629035904;15/08/2021 13:58:24;27,04;37,2;41,91;1008,09;3,98;209;0;
1629035964;15/08/2021 13:59:24;26,8;37,1;42,25;1008,06;9,36;262;0;
1629036024;15/08/2021 14:00:24;26,53;37,1;42,74;1008,03;4,93;215;0;
1629036084;15/08/2021 14:01:24;26,46;36,9;43;1008,02;0;36;0;
1629036144;15/08/2021 14:02:24;26,57;37;42,9;1008,02;0,69;296;0;
1629036204;15/08/2021 14:03:24;26,61;37,1;42,82;1008,04;0,46;3;0;
1629036264;15/08/2021 14:04:24;26,75;37,4;42,62;1008,08;7,82;238;0;
1629036324;15/08/2021 14:05:24;26,66;37,4;42,59;1008,04;8;203;0;
1629036384;15/08/2021 14:06:24;26,6;37,5;42,91;1008,01;6,59;207;0;
1629036444;15/08/2021 14:07:24;26,77;37,4;42,86;1007,99;9,5;3;0;
1629036504;15/08/2021 14:08:24;26,93;37,4;42,43;1007,98;4,1;30;0;
1629036564;15/08/2021 14:09:24;26,8;37,4;42,7;1007,95;5,69;119;0;
1629036624;15/08/2021 14:10:24;27,04;37,5;42,38;1007,97;0;289;0;
1629036684;15/08/2021 14:11:24;27,19;38;42,1;1008;1,18;124;0;
1629036744;15/08/2021 14:12:24;27,19;38;42,36;1007,97;9,46;234;0;
1629036804;15/08/2021 14:13:24;27,1;38,1;42,31;1007,98;3,4;352;0;
1629036864;15/08/2021 14:14:24;27,05;38;42,31;1007,96;2,45;94;0;
1629036924;15/08/2021 14:15:24;27,21;38;42,16;1007,93;8,35;31;0;
1629036984;15/08/2021 14:16:24;27,05;38,1;42,42;1007,87;4,8;40;0;
1629037044;15/08/2021 14:17:24;27,1;38,2;42,55;1007,86;4,16;96;0;
