TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1656777871;02/07/2022 16:04:31;31,97;50,4;33,98;957,54;1,67;229;-999;
1656777931;02/07/2022 16:05:31;32,11;50,4;34,14;957,57;2,14;315;-999;
1656777991;02/07/2022 16:06:31;32,16;50,2;33,59;957,56;1,68;231;-999;
1656778051;02/07/2022 16:07:31;32,23;50,1;33,68;957,57;2,09;226;-999;
1656778111;02/07/2022 16:08:31;32,2;50,1;33,95;957,58;1,48;283;-999;
1656778171;02/07/2022 16:09:31;32,27;50,1;33,99;957,59;0,61;273;-999;
1656778231;02/07/2022 16:10:31;32,45;49,9;33,29;957,59;0,87;0;-999;
1656778291;02/07/2022 16:11:31;32,45;49,8;33,11;957,58;0,75;40;-999;
1656778351;02/07/2022 16:12:31;32,51;49,8;33,3;957,57;0;0;-999;
1656778411;02/07/2022 16:13:31;32,55;49,7;33;957,59;0,79;300;-999;
1656778473;02/07/2022 16:14:33;32,55;49,7;32,99;957,58;0,9;340;-999;
1656778533;02/07/2022 16:15:33;32,58;49,6;33,32;957,58;1,51;296;-999;
1656778593;02/07/2022 16:16:33;32,65;49,6;33,08;957,56;0,56;271;-999;
1656778654;02/07/2022 16:17:34;32,69;49,4;33,04;957,6;1,92;247;-999;
1656778714;02/07/2022 16:18:34;32,79;49,3;33,36;957,57;1,27;349;-999;
1656778774;02/07/2022 16:19:34;32,8;49,3;32,66;957,58;2,32;323;-999;
1656778834;02/07/2022 16:20:34;32,87;49,2;32,44;957,57;0,52;215;-999;
1656778894;02/07/2022 16:21:34;32,87;49,2;32,54;957,59;1,39;310;-999;
1656778954;02/07/2022 16:22:34;32,85;49,1;32,52;957,61;0,97;295;-999;
1656779014;02/07/2022 16:23:34;32,76;49,1;32,9;957,6;1,7;301;-999;
1656779074;02/07/2022 16:24:34;32,75;48,9;32,77;957,62;0,94;236;-999;
1656779134;02/07/2022 16:25:34;32,79;48,8;33,08;957,63;2,02;319;-999;
1656779194;02/07/2022 16:26:34;32,69;48,7;33,53;957,62;0;0;-999;
1656779254;02/07/2022 16:27:34;32,75;48,7;33,16;957,61;0,23;241;-999;
1656779314;02/07/2022 16:28:34;32,79;48,6;33,31;957,58;2,88;206;-999;
1656779374;02/07/2022 16:29:34;32,73;48,5;33,28;957,6;0,89;250;-999;
1656779434;02/07/2022 16:30:34;32,52;48,5;33,81;957,61;1,69;286;-999;
1656779494;02/07/2022 16:31:34;32,48;48,5;34,08;957,61;1,15;228;-999;
1656779554;02/07/2022 16:32:34;32,48;48,3;33,68;957,67;0,85;230;-999;
1656779614;02/07/2022 16:33:34;32,5;48,3;33,89;957,66;0,42;284;-999;
1656779674;02/07/2022 16:34:34;32,5;48,2;33,97;957,62;2,25;257;-999;
1656779734;02/07/2022 16:35:34;32,55;48,2;34,04;957,63;0,68;253;-999;
1656779794;02/07/2022 16:36:34;32,61;48,2;33,93;957,65;0,48;280;-999;
1656779854;02/07/2022 16:37:34;32,72;47,9;33,56;957,69;1,45;295;-999;
1656779914;02/07/2022 16:38:34;32,66;48;33,59;957,7;2,07;275;-999;
1656779974;02/07/2022 16:39:34;32,57;47,9;33,98;957,72;1,57;183;-999;
1656780034;02/07/2022 16:40:34;32,44;47,8;34,1;957,72;0,81;244;-999;
1656780094;02/07/2022 16:41:34;32,35;47,6;34,12;957,7;1,99;277;-999;
1656780154;02/07/2022 16:42:34;32,28;47,6;34,34;957,71;0,76;255;-999;
1656780215;02/07/2022 16:43:35;32,27;47,4;34,48;957,7;0,83;205;-999;
1656780275;02/07/2022 16:44:35;32,35;47,4;34,34;957,67;1,3;252;-999;
1656780335;02/07/2022 16:45:35;32,31;47,4;34,46;957,63;2,26;253;-999;
1656780395;02/07/2022 16:46:35;32,36;47,4;34,34;957,61;1,44;197;-999;
1656780455;02/07/2022 16:47:35;32,36;47,3;34,4;957,64;1,09;234;-999;
1656780515;02/07/2022 16:48:35;32,3;47,4;34,2;957,64;0,68;266;-999;
1656780575;02/07/2022 16:49:35;32,36;47,3;34,3;957,64;1,79;199;-999;
