TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1660374414;13/08/2022 7:06:54;27,09;26,3;84,11;1003,28;0,64;182;-999;
1660374475;13/08/2022 7:07:55;27,06;26,2;84,16;1003,29;0;0;-999;
1660374535;13/08/2022 7:08:55;27,07;26,2;84,63;1003,28;0,27;122;-999;
1660374595;13/08/2022 7:09:55;27,17;26,2;84,13;1003,23;0,36;102;-999;
1660374655;13/08/2022 7:10:55;27,22;26,3;83,76;1003,22;0;0;-999;
1660374715;13/08/2022 7:11:55;27,26;26,3;83,07;1003,16;0,59;127;-999;
1660374775;13/08/2022 7:12:55;27,27;26,4;83,25;1003,11;0,71;168;-999;
1660374835;13/08/2022 7:13:55;27,33;26,5;83,79;1003,04;1,48;174;-999;
1660374895;13/08/2022 7:14:55;27,29;26,7;84,21;1003,01;0,78;190;-999;
1660374955;13/08/2022 7:15:55;27,33;26,8;82,25;1002,95;0,93;190;-999;
1660375015;13/08/2022 7:16:55;27,31;26,9;83,14;1002,9;1,27;185;-999;
1660375075;13/08/2022 7:17:55;27,41;26,9;83,73;1002,89;0,8;179;-999;
1660375135;13/08/2022 7:18:55;27,52;26,9;83,31;1002,85;1,1;107;-999;
1660375195;13/08/2022 7:19:55;27,61;26,9;82,47;1002,82;1,1;179;-999;
1660375255;13/08/2022 7:20:55;27,6;26,9;81,95;1002,78;0,25;141;-999;
1660375315;13/08/2022 7:21:55;27,62;27;82,92;1002,77;0,42;210;-999;
1660375375;13/08/2022 7:22:55;27,79;27;83,13;1002,77;0,73;170;-999;
1660375435;13/08/2022 7:23:55;27,96;26,9;81,22;1002,74;1,43;177;-999;
1660375495;13/08/2022 7:24:55;28,05;26,8;80,02;1002,76;1,49;152;-999;
1660375555;13/08/2022 7:25:55;28,15;26,8;79,76;1002,76;1,96;170;-999;
1660375615;13/08/2022 7:26:55;28,07;26,8;79,48;1002,76;1,16;184;-999;
1660375675;13/08/2022 7:27:55;28,1;26,8;79,62;1002,76;1,35;177;-999;
1660375735;13/08/2022 7:28:55;28,06;26,8;79,62;1002,77;1,04;149;-999;
1660375795;13/08/2022 7:29:55;28,1;26,8;79,98;1002,78;0,34;174;-999;
1660375855;13/08/2022 7:30:55;28,19;26,8;80,33;1002,82;0,29;196;-999;
1660375916;13/08/2022 7:31:56;28,27;26,8;79,06;1002,87;2,5;180;-999;
1660375976;13/08/2022 7:32:56;28,19;26,8;78,49;1002,86;0,45;181;-999;
1660376036;13/08/2022 7:33:56;28,12;26,7;78,15;1002,87;1,59;173;-999;
1660376096;13/08/2022 7:34:56;28,03;26,7;78,67;1002,87;0,88;167;-999;
1660376156;13/08/2022 7:35:56;27,88;26,6;79,72;1002,81;0,47;185;-999;
1660376216;13/08/2022 7:36:56;27,93;26,6;81,1;1002,76;0,2;243;-999;
1660376276;13/08/2022 7:37:56;28,02;26,5;81,02;1002,66;1,54;175;-999;
1660376336;13/08/2022 7:38:56;28,02;26,5;79,01;1002,67;0,59;176;-999;
1660376396;13/08/2022 7:39:56;27,95;26,4;79,01;1002,62;0,24;157;-999;
1660376456;13/08/2022 7:40:56;27,89;26,4;79,28;1002,61;0,7;164;-999;
1660376516;13/08/2022 7:41:56;27,86;26,4;79,71;1002,58;0,32;325;-999;
1660376576;13/08/2022 7:42:56;27,79;26,4;79,5;1002,54;1,15;178;-999;
1660376636;13/08/2022 7:43:56;27,85;26,4;79,86;1002,61;0,35;87;-999;
1660376696;13/08/2022 7:44:56;27,81;26,4;79,96;1002,67;0,21;186;-999;
1660376756;13/08/2022 7:45:56;27,84;26,4;79,87;1002,71;0,21;188;-999;
1660376816;13/08/2022 7:46:56;27,79;26,4;79,67;1002,75;0,5;181;-999;
1660376876;13/08/2022 7:47:56;27,72;26,4;80,75;1002,81;0,59;125;-999;
1660376936;13/08/2022 7:48:56;27,72;26,4;80,44;1002,79;0,89;172;-999;
1660376996;13/08/2022 7:49:56;27,77;26,5;80,49;1002,79;0,18;143;-999;
1660377056;13/08/2022 7:50:56;27,77;26,5;80,65;1002,74;0,18;93;-999;
1660377116;13/08/2022 7:51:56;27,82;26,5;80,58;1002,71;1,29;180;-999;
1660377176;13/08/2022 7:52:56;27,78;26,5;80,42;1002,69;0,66;176;-999;
1660377236;13/08/2022 7:53:56;27,78;26,5;80,44;1002,66;0,69;172;-999;
1660377296;13/08/2022 7:54:56;27,77;26,4;81,68;1002,6;0,34;149;-999;
1660377356;13/08/2022 7:55:56;27,78;26,4;81,59;1002,55;0,15;104;-999;
1660377416;13/08/2022 7:56:56;27,82;26,4;81,49;1002,5;0,34;167;-999;
1660377476;13/08/2022 7:57:56;27,92;26,4;81,23;1002,47;0,39;162;-999;
1660377536;13/08/2022 7:58:56;27,96;26,3;79,9;1002,43;0,44;123;-999;
1660377596;13/08/2022 7:59:56;27,85;26,3;80,03;1002,41;0,44;172;-999;
1660377656;13/08/2022 8:00:56;27,88;26,3;80,19;1002,43;0;0;-999;
1660377716;13/08/2022 8:01:56;27,79;26,4;80,52;1002,42;0,22;127;-999;
1660377776;13/08/2022 8:02:56;27,85;26,4;80,77;1002,37;0,44;163;-999;
1660377836;13/08/2022 8:03:56;27,92;26,4;80,16;1002,38;0,38;78;-999;
1660377896;13/08/2022 8:04:56;27,99;26,4;80,33;1002,39;0,39;104;-999;
1660377957;13/08/2022 8:05:57;28,09;26,4;79,67;1002,41;0,13;112;-999;
1660378017;13/08/2022 8:06:57;28,19;26,4;79,18;1002,38;0;0;-999;
1660378077;13/08/2022 8:07:57;28,27;26,3;80,03;1002,39;0;0;-999;
1660378137;13/08/2022 8:08:57;28,33;26,3;78,52;1002,39;0,87;166;-999;
1660378197;13/08/2022 8:09:57;28,32;26,2;79,29;1002,34;0,92;185;-999;
1660378257;13/08/2022 8:10:57;28,24;26,1;78,13;1002,34;1,07;175;-999;
1660378317;13/08/2022 8:11:57;28,19;26,1;78,29;1002,32;0,9;189;-999;
1660378377;13/08/2022 8:12:57;28,17;26;79,11;1002,29;0,66;172;-999;
1660378437;13/08/2022 8:13:57;28,07;26;78,6;1002,29;1,62;170;-999;
1660378497;13/08/2022 8:14:57;27,95;25,9;79,13;1002,28;1,37;174;-999;
1660378557;13/08/2022 8:15:57;27,73;25,9;79,21;1002,26;0,37;159;-999;
1660378617;13/08/2022 8:16:57;27,68;25,9;79,69;1002,25;1,56;163;-999;
1660378677;13/08/2022 8:17:57;27,62;25,8;79,83;1002,22;0,68;79;-999;
1660378737;13/08/2022 8:18:57;27,57;25,8;80,8;1002,26;0,25;114;-999;
1660378797;13/08/2022 8:19:57;27,51;25,8;81,07;1002,22;0,77;150;-999;
1660378857;13/08/2022 8:20:57;27,52;25,7;81,06;1002,19;0,92;169;-999;
1660378917;13/08/2022 8:21:57;27,6;25,7;81,43;1002,18;0,34;197;-999;
1660378977;13/08/2022 8:22:57;27,62;25,7;81,42;1002,19;0;0;-999;
1660379037;13/08/2022 8:23:57;27,72;25,6;79,85;1002,16;0,84;107;-999;
1660379097;13/08/2022 8:24:57;27,75;25,6;80,06;1002,18;0,14;63;-999;
1660379157;13/08/2022 8:25:57;27,84;25,6;79,61;1002,24;0,82;172;-999;
1660379217;13/08/2022 8:26:57;27,82;25,6;80,16;1002,21;0,52;270;-999;
1660379277;13/08/2022 8:27:57;27,86;25,6;79,04;1002,24;0,64;149;-999;
