TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1657991037;16/07/2022 17:03:57;28,81;38,5;59,79;1018,68;0,71;300;-999;
1657991097;16/07/2022 17:04:57;28,85;38,4;60,18;1018,61;2,26;331;-999;
1657991157;16/07/2022 17:05:57;28,88;38,5;60,03;1018,55;2,91;320;-999;
1657991217;16/07/2022 17:06:57;28,87;38,7;60,29;1018,55;1,91;311;-999;
1657991278;16/07/2022 17:07:58;28,71;38,8;61,62;1018,49;2,37;308;-999;
1657991338;16/07/2022 17:08:58;28,6;38,7;62,23;1018,5;1,66;320;-999;
1657991398;16/07/2022 17:09:58;28,65;38,6;62,31;1018,49;1,86;288;-999;
1657991458;16/07/2022 17:10:58;28,72;38,8;62,16;1018,49;2,96;315;-999;
1657991518;16/07/2022 17:11:58;28,65;38,5;62,44;1018,51;2,07;312;-999;
1657991578;16/07/2022 17:12:58;28,54;38,3;62,8;1018,5;3,18;308;-999;
1657991638;16/07/2022 17:13:58;28,39;38,2;62,67;1018,52;3,39;321;-999;
1657991698;16/07/2022 17:14:58;28,09;38;63,26;1018,61;2,42;336;-999;
1657991758;16/07/2022 17:15:58;27,93;37,8;63,82;1018,65;1,48;343;-999;
1657991818;16/07/2022 17:16:58;27,81;37,6;64,13;1018,7;0,77;295;-999;
1657991878;16/07/2022 17:17:58;27,86;37,6;64,17;1018,72;0,67;320;-999;
1657991938;16/07/2022 17:18:58;27,92;37,4;63,32;1018,72;0,93;86;-999;
1657991998;16/07/2022 17:19:58;27,93;37,4;63,33;1018,72;1,37;324;-999;
1657992058;16/07/2022 17:20:58;27,93;37,3;63,11;1018,7;1,44;299;-999;
1657992118;16/07/2022 17:21:58;28,09;37,2;63,87;1018,69;2,55;305;-999;
1657992178;16/07/2022 17:22:58;28,02;37,1;63,8;1018,65;1,35;290;-999;
1657992238;16/07/2022 17:23:58;28;37,1;63,99;1018,62;1,59;5;-999;
1657992298;16/07/2022 17:24:58;28;36,9;63,83;1018,6;2,35;311;-999;
1657992358;16/07/2022 17:25:58;28,07;36,9;63,87;1018,61;2,18;320;-999;
1657992418;16/07/2022 17:26:58;28,1;36,8;63,71;1018,6;1,05;308;-999;
1657992478;16/07/2022 17:27:58;28,17;36,8;63,96;1018,58;1,58;328;-999;
1657992538;16/07/2022 17:28:58;28,1;36,6;64,46;1018,53;3,07;324;-999;
1657992598;16/07/2022 17:29:58;28,07;36,6;64,47;1018,54;0,98;277;-999;
1657992658;16/07/2022 17:30:58;28,09;36,5;63,79;1018,56;0,79;317;-999;
1657992718;16/07/2022 17:31:58;27,95;36,4;64,4;1018,5;2,68;286;-999;
1657992779;16/07/2022 17:32:59;27,81;36,4;64,53;1018,62;3,35;276;-999;
1657992839;16/07/2022 17:33:59;27,61;36,4;65,76;1018,62;2,2;297;-999;
1657992899;16/07/2022 17:34:59;27,54;36,2;65,44;1018,67;3,67;265;-999;
1657992959;16/07/2022 17:35:59;27,44;36,1;68,04;1018,67;1,63;313;-999;
1657993019;16/07/2022 17:36:59;27,34;36;69,96;1018,61;2,9;322;-999;
1657993079;16/07/2022 17:37:59;27,24;35,2;69,97;1018,6;0,91;41;-999;
1657993139;16/07/2022 17:38:59;27,23;35;73,73;1018,66;2,61;320;-999;
1657993199;16/07/2022 17:39:59;27,18;34,7;72,39;1018,64;3,06;316;-999;
1657993259;16/07/2022 17:40:59;26,95;33,9;76,42;1018,62;1,37;283;-999;
