TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1689426317;15/07/2023 13:05:17;32;59,8;60,11;1012,36;0,85;19;-999;
1689426377;15/07/2023 13:06:17;32,07;59,9;59,88;1012,34;1,73;21;-999;
1689426437;15/07/2023 13:07:17;32,11;59,8;59,91;1012,33;0,89;304;-999;
1689426497;15/07/2023 13:08:17;32,17;59,8;59,32;1012,33;1,39;311;-999;
1689426557;15/07/2023 13:09:17;32,2;59,8;59,13;1012,3;1,38;7;-999;
1689426617;15/07/2023 13:10:17;32,17;59,9;59,12;1012,27;1,71;25;-999;
1689426677;15/07/2023 13:11:17;32,18;59,8;59,09;1012,3;2,04;6;-999;
1689426737;15/07/2023 13:12:17;32,31;59,8;58,63;1012,31;2,57;5;-999;
1689426797;15/07/2023 13:13:17;32,31;59,7;58,46;1012,26;2,03;354;-999;
1689426857;15/07/2023 13:14:17;32,18;59,7;58,83;1012,24;1,69;10;-999;
1689426917;15/07/2023 13:15:17;32,1;59,7;59,13;1012,23;2,91;10;-999;
1689426977;15/07/2023 13:16:17;32,06;59,6;59,31;1012,25;0,47;29;-999;
1689427037;15/07/2023 13:17:17;32,18;59,5;59,25;1012,22;1,6;236;-999;
1689427097;15/07/2023 13:18:17;32,27;59,6;58,95;1012,12;2,86;230;-999;
1689427157;15/07/2023 13:19:17;32,28;59,6;59,16;1012,17;1,43;209;-999;
1689427217;15/07/2023 13:20:17;32,25;59,6;59,03;1012,17;0,67;248;-999;
1689427277;15/07/2023 13:21:17;32,27;59,6;59,17;1012,15;0,55;244;-999;
1689427337;15/07/2023 13:22:17;32,3;59,6;58,99;1012,16;1,52;238;-999;
1689427397;15/07/2023 13:23:17;32,42;59,6;58,65;1012,14;2,67;231;-999;
1689427457;15/07/2023 13:24:17;32,45;59,6;58,72;1012,17;0,53;219;-999;
1689427518;15/07/2023 13:25:18;32,38;59,6;58,52;1012,17;0,58;235;-999;
1689427578;15/07/2023 13:26:18;32,52;59,7;58,77;1012,15;1,98;228;-999;
1689427638;15/07/2023 13:27:18;32,55;59,6;58,64;1012,14;2,12;214;-999;
1689427698;15/07/2023 13:28:18;32,52;59,7;58,64;1012,13;0,68;206;-999;
1689427758;15/07/2023 13:29:18;32,61;59,8;58,26;1012,13;0,18;93;-999;
1689427818;15/07/2023 13:30:18;32,65;59,8;57,51;1012,1;0,89;9;-999;
1689427878;15/07/2023 13:31:18;32,66;59,9;57,68;1012,08;1,48;255;-999;
1689427938;15/07/2023 13:32:18;32,66;60;57,98;1012,05;1,89;211;-999;
1689427998;15/07/2023 13:33:18;32,66;60;57,98;1012,04;2,31;237;-999;
1689428058;15/07/2023 13:34:18;32,66;59,9;57,99;1012,04;2,3;244;-999;
1689428118;15/07/2023 13:35:18;32,59;59,9;58,14;1012,04;1,45;245;-999;
1689428178;15/07/2023 13:36:18;32,68;59,9;58,15;1012,02;0;0;-999;
1689428238;15/07/2023 13:37:18;32,72;60;57,85;1012;2,1;243;-999;
1689428298;15/07/2023 13:38:18;32,71;60;57,89;1012,02;0,26;49;-999;
1689428358;15/07/2023 13:39:18;32,83;60;57,14;1011,98;1,61;37;-999;
1689428418;15/07/2023 13:40:18;32,75;60;57,32;1012,02;0,47;30;-999;
1689428478;15/07/2023 13:41:18;32,75;60;57,43;1011,99;1,21;12;-999;
1689428538;15/07/2023 13:42:18;32,85;60;57,52;1012;0,99;34;-999;
1689428598;15/07/2023 13:43:18;32,95;60;57,23;1012;1,42;49;-999;
1689428658;15/07/2023 13:44:18;33,02;59,9;57;1012;0,15;26;-999;
1689428718;15/07/2023 13:45:18;33,02;59,8;57,22;1012,01;1,51;243;-999;
1689428778;15/07/2023 13:46:18;33,03;59,8;57,12;1011,98;0,23;211;-999;
1689428838;15/07/2023 13:47:18;32,96;59,9;57,15;1012;2,15;339;-999;
1689428898;15/07/2023 13:48:18;32,9;59,9;57,11;1011,96;0,79;66;-999;
1689428958;15/07/2023 13:49:18;32,78;59,7;57,5;1011,98;2,25;226;-999;
1689429018;15/07/2023 13:50:18;32,8;59,6;57,65;1011,94;1,09;203;-999;
1689429078;15/07/2023 13:51:18;32,78;59,4;57,43;1012,03;2,7;239;-999;
1689429138;15/07/2023 13:52:18;32,66;59,2;57,46;1011,96;1,93;2;-999;
1689429199;15/07/2023 13:53:19;32,54;59,2;57,77;1011,95;0,98;350;-999;
1689429261;15/07/2023 13:54:21;32,5;59,2;57,85;1011,88;1,72;48;-999;
1689429322;15/07/2023 13:55:22;32,57;59,3;57,76;1011,91;1,43;0;-999;
1689429383;15/07/2023 13:56:23;32,75;59,3;57,53;1011,91;1,26;231;-999;
1689429444;15/07/2023 13:57:24;32,89;59,3;57,1;1011,89;2,49;9;-999;
1689429506;15/07/2023 13:58:26;33,02;59,3;56,93;1011,87;0;0;-999;
1689429567;15/07/2023 13:59:27;33,07;59,2;56,44;1011,91;2,2;356;-999;
1689429629;15/07/2023 14:00:29;33,07;59,2;56,06;1011,87;1,43;5;-999;
1689429690;15/07/2023 14:01:30;32,99;59,2;56,23;1011,92;1,98;8;-999;
1689429751;15/07/2023 14:02:31;32,93;59,2;56,28;1011,94;1,42;333;-999;
1689429813;15/07/2023 14:03:33;32,8;59,1;57,09;1011,93;1,39;345;-999;
1689429874;15/07/2023 14:04:34;32,65;59,1;57,71;1011,94;1,21;319;-999;
1689429935;15/07/2023 14:05:35;32,65;59,1;58,05;1011,91;1,51;18;-999;
1689429996;15/07/2023 14:06:36;32,65;59;58,05;1011,9;1,92;2;-999;
1689430056;15/07/2023 14:07:36;32,57;58,9;58,24;1011,9;0,85;2;-999;
1689430116;15/07/2023 14:08:36;32,51;59;58,8;1011,87;1,05;282;-999;
1689430178;15/07/2023 14:09:38;32,63;59;58,77;1011,86;1,14;221;-999;
1689430238;15/07/2023 14:10:38;32,73;59;58,35;1011,86;1,25;211;-999;
1689430299;15/07/2023 14:11:39;32,79;59;57,96;1011,9;0,55;292;-999;
1689430359;15/07/2023 14:12:39;32,96;59;57,58;1011,9;1,38;220;-999;
1689430419;15/07/2023 14:13:39;33;58,9;57,2;1011,86;0,66;159;-999;
1689430480;15/07/2023 14:14:40;32,96;58,9;56,89;1011,9;2,6;246;-999;
1689430540;15/07/2023 14:15:40;32,9;58,8;56,7;1011,87;1,74;10;-999;
1689430600;15/07/2023 14:16:40;32,9;58,8;57,08;1011,88;2,6;223;-999;
1689430660;15/07/2023 14:17:40;32,96;58,7;56,9;1011,87;1,95;245;-999;
1689430720;15/07/2023 14:18:40;32,98;58,7;56,85;1011,86;0,6;206;-999;
1689430780;15/07/2023 14:19:40;32,96;58,5;56,63;1011,84;2,76;219;-999;
1689430841;15/07/2023 14:20:41;32,85;58,4;56,85;1011,88;1,2;324;-999;
1689430901;15/07/2023 14:21:41;32,72;58,5;57,04;1011,85;0,97;22;-999;
1689430961;15/07/2023 14:22:41;32,83;58,5;57,16;1011,86;2,48;221;-999;
1689431022;15/07/2023 14:23:42;32,89;58,4;56,51;1011,86;1,13;241;-999;
1689431082;15/07/2023 14:24:42;32,86;58,3;56,17;1011,89;0,89;286;-999;
1689431142;15/07/2023 14:25:42;32,8;58,2;56,81;1011,86;0,51;163;-999;
1689431202;15/07/2023 14:26:42;32,8;58,2;56,69;1011,85;1,17;3;-999;
1689431262;15/07/2023 14:27:42;32,92;58,2;56,44;1011,82;1,83;41;-999;
1689431322;15/07/2023 14:28:42;32,95;58,2;56,33;1011,83;0,82;328;-999;
1689431383;15/07/2023 14:29:43;33,03;58,1;56,04;1011,82;0,82;2;-999;
1689431443;15/07/2023 14:30:43;32,99;58,1;56,37;1011,79;0,29;198;-999;
1689431503;15/07/2023 14:31:43;33,03;58,1;55,97;1011,78;0,87;284;-999;
1689431563;15/07/2023 14:32:43;33,16;58,1;55,69;1011,79;1,88;242;-999;
1689431623;15/07/2023 14:33:43;33,16;58,1;54,99;1011,76;2,86;229;-999;
1689431683;15/07/2023 14:34:43;33,06;58;54,83;1011,76;1,59;230;-999;
1689431743;15/07/2023 14:35:43;32,96;58;55,42;1011,74;2,61;230;-999;
1689431804;15/07/2023 14:36:44;32,82;57,9;55,98;1011,73;0,54;179;-999;
1689431864;15/07/2023 14:37:44;32,85;57,8;56,4;1011,7;1,63;210;-999;
1689431924;15/07/2023 14:38:44;32,92;57,8;56,35;1011,75;1,4;316;-999;
1689431984;15/07/2023 14:39:44;32,86;57,7;55,32;1011,74;0,82;346;-999;
1689432044;15/07/2023 14:40:44;32,76;57,7;55,71;1011,75;1,47;293;-999;
1689432104;15/07/2023 14:41:44;32,78;57,4;55,52;1011,69;1,23;330;-999;
