TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1674839298;27/01/2023 17:08:18;14,21;14,2;47,94;945,26;1,01;159;-999;
1674839358;27/01/2023 17:09:18;14,15;14,2;47,99;945,31;0,63;143;-999;
1674839418;27/01/2023 17:10:18;14,14;14,2;47,97;945,33;0;0;-999;
1674839478;27/01/2023 17:11:18;14,22;14,2;48,06;945,32;0,73;157;-999;
1674839538;27/01/2023 17:12:18;14,18;14,2;48,14;945,33;0,39;175;-999;
1674839598;27/01/2023 17:13:18;14,15;14,2;48,25;945,31;0,47;131;-999;
1674839658;27/01/2023 17:14:18;14,15;14,2;48,57;945,33;0,38;168;-999;
1674839718;27/01/2023 17:15:18;14,09;14,2;48,32;945,35;0,86;141;-999;
1674839778;27/01/2023 17:16:18;14,09;14,1;48,32;945,36;1,29;98;-999;
1674839839;27/01/2023 17:17:19;14,15;14,1;48,36;945,39;0,85;144;-999;
1674839899;27/01/2023 17:18:19;14,09;14,1;48,26;945,41;1,19;177;-999;
1674839959;27/01/2023 17:19:19;14,07;14,1;48,28;945,43;1,72;151;-999;
1674840019;27/01/2023 17:20:19;14,12;14,1;48,24;945,44;1,04;147;-999;
1674840079;27/01/2023 17:21:19;14,17;14,1;48,43;945,45;0,14;7;-999;
1674840139;27/01/2023 17:22:19;14,14;14,1;48,55;945,45;1,18;127;-999;
1674840199;27/01/2023 17:23:19;14,17;14,1;48,24;945,46;1,84;129;-999;
1674840259;27/01/2023 17:24:19;14,14;14;48,36;945,44;0,69;158;-999;
1674840319;27/01/2023 17:25:19;14,17;14;48,4;945,42;0,81;116;-999;
1674840379;27/01/2023 17:26:19;14,12;14;48,5;945,42;0,87;152;-999;
1674840439;27/01/2023 17:27:19;14,09;14;48,71;945,42;0,67;101;-999;
1674840499;27/01/2023 17:28:19;14,07;14;48,77;945,39;0,86;87;-999;
1674840559;27/01/2023 17:29:19;14,05;14;48,98;945,4;0,7;185;-999;
1674840619;27/01/2023 17:30:19;14,02;14;49,03;945,41;0,86;107;-999;
1674840679;27/01/2023 17:31:19;14,05;13,9;49,08;945,44;0,55;147;-999;
1674840739;27/01/2023 17:32:19;14,04;14;48,98;945,47;0,71;106;-999;
1674840799;27/01/2023 17:33:19;14,02;13,9;49,09;945,45;0,66;127;-999;
1674840859;27/01/2023 17:34:19;14,01;13,9;49,11;945,45;0,78;115;-999;
1674840919;27/01/2023 17:35:19;14,01;13,9;49,16;945,44;0,47;83;-999;
1674840979;27/01/2023 17:36:19;14,04;13,9;49,29;945,46;1,25;122;-999;
1674841039;27/01/2023 17:37:19;13,98;13,9;49,21;945,45;0,85;153;-999;
1674841099;27/01/2023 17:38:19;14,01;13,9;48,95;945,44;1,04;112;-999;
1674841159;27/01/2023 17:39:19;14,01;13,9;49,18;945,43;0,38;178;-999;
1674841219;27/01/2023 17:40:19;14,01;13,9;49,15;945,44;0,87;108;-999;
1674841279;27/01/2023 17:41:19;14,01;13,8;49,01;945,41;1,15;96;-999;
1674841339;27/01/2023 17:42:19;14,01;13,8;49,03;945,44;0;0;-999;
1674841399;27/01/2023 17:43:19;14,02;13,8;49,3;945,44;0,23;196;-999;
1674841459;27/01/2023 17:44:19;13,97;13,8;49,07;945,44;1,15;141;-999;
1674841520;27/01/2023 17:45:20;13,95;13,8;49,06;945,43;0,29;153;-999;
1674841580;27/01/2023 17:46:20;13,95;13,8;49,2;945,45;0,39;174;-999;
1674841640;27/01/2023 17:47:20;13,93;13,8;49,14;945,46;1,03;128;-999;
1674841700;27/01/2023 17:48:20;13,95;13,8;49,16;945,45;0,22;78;-999;
1674841760;27/01/2023 17:49:20;13,9;13,8;49,22;945,45;1,05;158;-999;
1674841820;27/01/2023 17:50:20;13,93;13,8;49,33;945,45;0,29;135;-999;
1674841880;27/01/2023 17:51:20;13,94;13,8;49,47;945,46;0;0;-999;
1674841940;27/01/2023 17:52:20;13,93;13,7;49,51;945,45;0,59;104;-999;
1674842000;27/01/2023 17:53:20;13,88;13,7;49,4;945,44;0,91;98;-999;
1674842060;27/01/2023 17:54:20;13,9;13,7;49,54;945,42;0,69;168;-999;
