TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1685866036;04/06/2023 8:07:16;32,45;38,6;63,43;1007,44;0;0;-999;
1685866096;04/06/2023 8:08:16;32,57;38,5;63,48;1007,46;1,05;110;-999;
1685866157;04/06/2023 8:09:17;32,57;38,5;63,62;1007,46;1,57;110;-999;
1685866217;04/06/2023 8:10:17;32,51;38,5;64;1007,45;1,46;91;-999;
1685866277;04/06/2023 8:11:17;32,45;38,4;64,32;1007,47;0,77;110;-999;
1685866337;04/06/2023 8:12:17;32,54;38,4;64,02;1007,43;1,41;94;-999;
1685866397;04/06/2023 8:13:17;32,51;38,4;63,81;1007,44;0,58;126;-999;
1685866457;04/06/2023 8:14:17;32,51;38,4;63,9;1007,35;0,8;319;-999;
1685866517;04/06/2023 8:15:17;32,61;38,3;63,38;1007,39;1,28;76;-999;
1685866577;04/06/2023 8:16:17;32,59;38,3;63,94;1007,38;1,07;112;-999;
1685866637;04/06/2023 8:17:17;32,54;38,3;64,17;1007,36;1,06;84;-999;
1685866697;04/06/2023 8:18:17;32,36;38,2;64,52;1007,39;0,66;72;-999;
1685866757;04/06/2023 8:19:17;32,36;38,2;64,64;1007,41;0,56;123;-999;
1685866817;04/06/2023 8:20:17;32,35;38,2;64,22;1007,37;1,19;114;-999;
1685866877;04/06/2023 8:21:17;32,27;38,2;63,78;1007,38;1,62;104;-999;
1685866937;04/06/2023 8:22:17;32,21;38,1;64,31;1007,38;0,49;338;-999;
1685866997;04/06/2023 8:23:17;32,25;38,1;64,21;1007,37;0,65;69;-999;
1685867057;04/06/2023 8:24:17;32,34;38;63,73;1007,32;0,99;163;-999;
1685867117;04/06/2023 8:25:17;32,48;38;63,87;1007,26;0,77;91;-999;
1685867177;04/06/2023 8:26:17;32,54;38;64,35;1007,26;0,84;141;-999;
1685867237;04/06/2023 8:27:17;32,58;37,9;64,03;1007,25;0,49;88;-999;
1685867297;04/06/2023 8:28:17;32,55;37,9;63,67;1007,26;1,72;94;-999;
1685867357;04/06/2023 8:29:17;32,48;37,9;63,76;1007,28;0,68;31;-999;
1685867417;04/06/2023 8:30:17;32,48;37,9;64,32;1007,31;1,55;53;-999;
1685867477;04/06/2023 8:31:17;32,44;37,8;64,22;1007,31;0,32;290;-999;
1685867537;04/06/2023 8:32:17;32,46;37,8;64,07;1007,3;0,56;81;-999;
1685867597;04/06/2023 8:33:17;32,46;37,8;63,7;1007,3;0,82;80;-999;
1685867657;04/06/2023 8:34:17;32,45;37,7;64,05;1007,34;1,33;85;-999;
1685867717;04/06/2023 8:35:17;32,38;37,7;64,38;1007,32;1,37;87;-999;
1685867777;04/06/2023 8:36:17;32,3;37,7;64,74;1007,29;1;97;-999;
1685867837;04/06/2023 8:37:17;32,23;37,6;65,46;1007,27;0,73;33;-999;
1685867897;04/06/2023 8:38:17;32,23;37,6;65,56;1007,31;1,49;114;-999;
1685867957;04/06/2023 8:39:17;32,13;37,6;65,61;1007,33;0,92;41;-999;
1685868018;04/06/2023 8:40:18;32,18;37,6;65,6;1007,35;0,81;359;-999;
1685868078;04/06/2023 8:41:18;32,14;37,5;65,99;1007,35;0,3;274;-999;
1685868138;04/06/2023 8:42:18;32,17;37,5;66,39;1007,4;1,21;90;-999;
1685868198;04/06/2023 8:43:18;32,21;37,5;65,49;1007,38;0,47;358;-999;
1685868258;04/06/2023 8:44:18;32,23;37,5;65,4;1007,36;1,51;94;-999;
1685868318;04/06/2023 8:45:18;32,16;37,4;65,87;1007,41;0,38;64;-999;
1685868378;04/06/2023 8:46:18;32,11;37,4;65,82;1007,33;1,18;69;-999;
1685868438;04/06/2023 8:47:18;32,13;37,4;65,94;1007,34;0,14;158;-999;
1685868498;04/06/2023 8:48:18;32,04;37,4;66,09;1007,31;0,59;96;-999;
1685868558;04/06/2023 8:49:18;32,13;37,3;65,92;1007,27;0,6;81;-999;
1685868618;04/06/2023 8:50:18;32,06;37,3;66,13;1007,28;0,28;175;-999;
1685868678;04/06/2023 8:51:18;31,97;37,3;66,31;1007,27;1,02;94;-999;
