TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;RAIN;
1679763836;25/03/2023 17:03:56;33,06;55,1;34,47;932,56;0,91;257;-999;
1679763896;25/03/2023 17:04:56;32,83;54,8;34,76;932,55;1,3;270;-999;
1679763956;25/03/2023 17:05:56;32,73;54,5;35,05;932,56;0,53;266;-999;
1679764016;25/03/2023 17:06:56;32,73;53,9;35,12;932,52;0,56;218;-999;
1679764076;25/03/2023 17:07:56;32,73;53,7;35,01;932,51;0,13;202;-999;
1679764136;25/03/2023 17:08:56;32,73;53,7;35,17;932,52;0,29;118;-999;
1679764197;25/03/2023 17:09:57;32,79;53,5;35,14;932,51;0,33;108;-999;
1679764257;25/03/2023 17:10:57;32,86;53,2;34,87;932,51;0,17;294;-999;
1679764317;25/03/2023 17:11:57;32,86;53,1;34,85;932,51;0,27;242;-999;
1679764377;25/03/2023 17:12:57;32,9;52,9;34,76;932,49;0,75;174;-999;
1679764437;25/03/2023 17:13:57;33,01;53,2;34,68;932,48;0,39;205;-999;
1679764497;25/03/2023 17:14:57;33,07;53,6;34,65;932,48;0,82;160;-999;
1679764557;25/03/2023 17:15:57;33,15;54;34,47;932,43;0,35;347;-999;
1679764617;25/03/2023 17:16:57;33,28;54,7;34,13;932,42;0,53;305;-999;
1679764677;25/03/2023 17:17:57;33,48;55,1;33,72;932,4;0,82;312;-999;
1679764737;25/03/2023 17:18:57;33,71;55,4;33,47;932,42;0,16;311;-999;
1679764797;25/03/2023 17:19:57;33,85;55,4;33,2;932,43;0,74;301;-999;
1679764857;25/03/2023 17:20:57;33,99;55,8;33,21;932,43;0,85;292;-999;
1679764917;25/03/2023 17:21:57;34,13;56,3;33,36;932,38;1,5;317;-999;
1679764977;25/03/2023 17:22:57;34,13;56,3;33,19;932,44;0,14;10;-999;
1679765037;25/03/2023 17:23:57;34,23;56,6;33,71;932,42;3,46;309;-999;
1679765097;25/03/2023 17:24:57;34,13;56,6;33,23;932,39;1,18;308;-999;
1679765157;25/03/2023 17:25:57;34,15;56,8;33,24;932,39;0,13;355;-999;
1679765217;25/03/2023 17:26:57;34,24;56,8;33,13;932,41;2,17;313;-999;
1679765277;25/03/2023 17:27:57;34,39;57;32,68;932,37;0,27;40;-999;
1679765337;25/03/2023 17:28:57;34,54;57;32,81;932,31;0,4;307;-999;
1679765398;25/03/2023 17:29:58;34,64;57,2;32,41;932,3;0,84;121;-999;
1679765458;25/03/2023 17:30:58;34,83;57,3;32,37;932,3;1,11;269;-999;
1679765518;25/03/2023 17:31:58;34,99;57,3;32,37;932,32;1,42;285;-999;
1679765578;25/03/2023 17:32:58;35,08;57,3;31,57;932,34;1,64;308;-999;
1679765638;25/03/2023 17:33:58;35,04;57,5;31,41;932,31;0;0;-999;
1679765698;25/03/2023 17:34:58;35,07;57,6;31,3;932,28;0,34;16;-999;
1679765758;25/03/2023 17:35:58;35,11;57,6;31,35;932,26;0,15;349;-999;
1679765818;25/03/2023 17:36:58;35,15;57,7;31,2;932,23;0,58;323;-999;
1679765878;25/03/2023 17:37:58;35,18;57,7;31,28;932,21;0,74;105;-999;
1679765938;25/03/2023 17:38:58;35,17;57,9;31,52;932,18;0,64;125;-999;
1679765998;25/03/2023 17:39:58;35,04;57,8;31,61;932,2;0,65;171;-999;
1679766058;25/03/2023 17:40:58;34,93;58;31,53;932,2;0,23;136;-999;
1679766118;25/03/2023 17:41:58;34,8;58,1;31,64;932,2;0,34;129;-999;
1679766178;25/03/2023 17:42:58;34,8;58,2;31,95;932,17;0,75;334;-999;
1679766238;25/03/2023 17:43:58;35,09;58,1;31,14;932,18;0,8;332;-999;
1679766298;25/03/2023 17:44:58;35,35;58,2;30,54;932,16;0,21;301;-999;
1679766358;25/03/2023 17:45:58;35,55;58,2;29,51;932,16;0,94;304;-999;
1679766418;25/03/2023 17:46:58;35,53;58,1;29,75;932,15;1,26;299;-999;
1679766478;25/03/2023 17:47:58;35,42;58;29,87;932,13;0;0;-999;
1679766538;25/03/2023 17:48:58;35,35;58,1;30,02;932,15;0,51;350;-999;
1679766598;25/03/2023 17:49:58;35,39;58;30,03;932,13;0,92;331;-999;
1679766658;25/03/2023 17:50:58;35,44;58;28,92;932,16;1,41;311;-999;
1679766718;25/03/2023 17:51:58;35,44;57,9;28,58;932,15;1,08;318;-999;
1679766778;25/03/2023 17:52:58;35,41;58;28,77;932,11;2,15;117;-999;
1679766838;25/03/2023 17:53:58;35,44;58;28,83;932,12;0,83;105;-999;
1679766898;25/03/2023 17:54:58;35,48;58,1;28,4;932,12;0,39;356;-999;
1679766958;25/03/2023 17:55:58;35,49;58;28,41;932,1;0,62;100;-999;
1679767018;25/03/2023 17:56:58;35,44;58;28,34;932,1;1,53;99;-999;
