TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1550354671;16/02/2019 22:04:31;28.5;45;39;776.093;2.12187;92;
1550354731;16/02/2019 22:05:31;28.5;45;39;776.093;4.24374;117;
1550354792;16/02/2019 22:06:32;28.4444;45;40;776.093;7.42654;131;
1550354852;16/02/2019 22:07:32;28.3889;45;40;776.093;9.54841;105;
1550354912;16/02/2019 22:08:32;28.3889;45;40;776.093;6.3656;117;
1550354972;16/02/2019 22:09:32;28.3889;45;40;776.025;3.1828;142;
1550355032;16/02/2019 22:10:32;28.3333;44.4444;40;776.059;4.24374;148;
1550355092;16/02/2019 22:11:32;28.3333;44.4444;40;776.059;6.3656;156;
1550355152;16/02/2019 22:12:32;28.2778;44.4444;40;776.025;3.1828;127;
1550355212;16/02/2019 22:13:32;28.2778;44.4444;40;775.991;7.42654;121;
1550355272;16/02/2019 22:14:32;28.2222;44.4444;40;776.025;8.48747;129;
1550355332;16/02/2019 22:15:32;28.2222;44.4444;40;776.025;3.1828;115;
1550355392;16/02/2019 22:16:32;28.2222;44.4444;40;776.025;4.24374;123;
1550355453;16/02/2019 22:17:33;28.1667;44.4444;40;776.059;5.30467;124;
1550355513;16/02/2019 22:18:33;28.1667;43.8889;40;776.025;7.42654;103;
1550355573;16/02/2019 22:19:33;28.1111;43.8889;41;776.025;3.1828;127;
1550355633;16/02/2019 22:20:33;28.1111;43.8889;41;776.059;10.6093;123;
1550355693;16/02/2019 22:21:33;28.0556;43.8889;41;776.059;5.30467;151;
1550355753;16/02/2019 22:22:33;28.0556;43.8889;41;776.093;6.3656;163;
1550355813;16/02/2019 22:23:33;28.0556;43.8889;41;776.059;5.30467;121;
1550355873;16/02/2019 22:24:33;28.0556;43.8889;41;776.093;4.24374;140;
1550355933;16/02/2019 22:25:33;28;43.8889;41;776.025;3.1828;117;
1550355993;16/02/2019 22:26:33;28;43.8889;41;776.059;5.30467;158;
1550356053;16/02/2019 22:27:33;28;43.3333;42;775.991;4.24374;125;
1550356114;16/02/2019 22:28:34;27.9444;43.3333;41;776.093;7.42654;130;
1550356174;16/02/2019 22:29:34;27.9444;43.3333;41;776.059;7.42654;125;
1550356234;16/02/2019 22:30:34;27.9444;43.3333;41;776.025;2.12187;177;
1550356294;16/02/2019 22:31:34;27.9444;43.3333;41;776.093;4.24374;120;
1550356354;16/02/2019 22:32:34;27.9444;43.3333;41;776.093;5.30467;119;
1550356414;16/02/2019 22:33:34;27.8889;42.7778;41;776.093;4.24374;126;
1550356474;16/02/2019 22:34:34;27.8333;42.7778;41;776.025;4.24374;159;
1550356534;16/02/2019 22:35:34;27.8333;42.7778;42;776.059;3.1828;140;
1550356594;16/02/2019 22:36:34;27.7778;42.7778;42;776.059;3.1828;115;
1550356654;16/02/2019 22:37:34;27.7778;42.7778;42;776.093;7.42654;128;
1550356714;16/02/2019 22:38:34;27.7778;42.7778;42;776.059;8.48747;167;
1550356775;16/02/2019 22:39:35;27.7222;42.2222;42;775.991;3.1828;140;
1550356835;16/02/2019 22:40:35;27.7222;42.2222;42;776.059;9.54841;111;
1550356895;16/02/2019 22:41:35;27.6667;42.2222;42;776.059;3.1828;183;
1550356955;16/02/2019 22:42:35;27.6667;41.6667;42;776.059;5.30467;123;
1550357015;16/02/2019 22:43:35;27.6111;41.6667;42;776.059;4.24374;122;
1550357075;16/02/2019 22:44:35;27.6111;41.6667;42;776.093;7.42654;99;
1550357135;16/02/2019 22:45:35;27.5556;41.6667;42;776.059;4.24374;159;
1550357195;16/02/2019 22:46:35;27.5;41.1111;42;775.991;4.24374;121;
1550357255;16/02/2019 22:47:35;27.5;41.1111;42;776.025;8.48747;105;
1550357315;16/02/2019 22:48:35;27.4444;41.1111;42;776.059;7.42654;109;
1550357375;16/02/2019 22:49:35;27.3889;41.1111;43;776.025;4.24374;145;
1550357436;16/02/2019 22:50:36;27.3333;40.5556;43;776.059;5.30467;163;
1550357496;16/02/2019 22:51:36;27.3333;40.5556;43;776.059;7.42654;117;
1550357556;16/02/2019 22:52:36;27.2778;40.5556;43;775.991;4.24374;123;
1550357616;16/02/2019 22:53:36;27.2222;40.5556;43;775.991;8.48747;120;
1550357676;16/02/2019 22:54:36;27.1667;40;42;775.991;4.24374;119;
1550357736;16/02/2019 22:55:36;27.1667;40;43;776.025;4.24374;121;
1550357796;16/02/2019 22:56:36;27.1667;40;43;776.025;4.24374;112;
1550357856;16/02/2019 22:57:36;27.1667;40;43;776.059;5.30467;129;
