TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1556373948;27/04/2019 14:05:48;13.6111;24.4444;58;1011.45;1.06093;277;
1556374008;27/04/2019 14:06:48;13.6667;24.4444;59;1011.45;8.48747;321;
1556374068;27/04/2019 14:07:48;13.6667;25;57;1011.38;1.06093;202;
1556374128;27/04/2019 14:08:48;13.7222;25;58;1011.41;3.1828;185;
1556374189;27/04/2019 14:09:49;13.7778;25;58;1011.38;3.1828;202;
1556374249;27/04/2019 14:10:49;13.8333;25;58;1011.51;2.12187;210;
1556374309;27/04/2019 14:11:49;13.9444;25;57;1011.31;3.1828;228;
1556374369;27/04/2019 14:12:49;14;25;57;1011.41;6.3656;230;
1556374429;27/04/2019 14:13:49;14.0556;25;56;1011.58;7.42654;221;
1556374489;27/04/2019 14:14:49;14.0556;25;55;1011.58;5.30467;243;
1556374549;27/04/2019 14:15:49;14;25;55;1011.58;5.30467;173;
1556374609;27/04/2019 14:16:49;13.9444;24.4444;55;1011.68;8.48747;248;
1556374669;27/04/2019 14:17:49;13.8333;24.4444;54;1011.72;14.8531;258;
1556374729;27/04/2019 14:18:49;13.7222;24.4444;55;1011.95;6.3656;232;
1556374789;27/04/2019 14:19:49;13.6111;24.4444;54;1011.95;1.06093;188;
1556374850;27/04/2019 14:20:50;13.5556;23.8889;55;1012.06;4.24374;233;
1556374910;27/04/2019 14:21:50;13.5;23.8889;59;1012.09;4.24374;244;
1556374970;27/04/2019 14:22:50;13.3889;23.8889;60;1012.12;12.7312;244;
1556375030;27/04/2019 14:23:50;13.2778;23.3333;61;1012.19;3.1828;235;
1556375090;27/04/2019 14:24:50;13;22.7778;64;1012.23;3.1828;205;
1556375150;27/04/2019 14:25:50;12.7222;22.7778;66;1012.19;4.24374;229;
1556375210;27/04/2019 14:26:50;12.5;22.2222;69;1012.16;3.1828;223;
1556375270;27/04/2019 14:27:50;12.2778;22.2222;69;1012.23;2.12187;232;
1556375330;27/04/2019 14:28:50;12;22.2222;69;1012.39;1.06093;76;
1556375390;27/04/2019 14:29:50;11.8333;22.2222;69;1012.29;1.06093;244;
1556375451;27/04/2019 14:30:51;11.6667;21.6667;70;1012.12;2.12187;219;
1556375511;27/04/2019 14:31:51;11.5;21.6667;71;1012.02;6.3656;236;
1556375571;27/04/2019 14:32:51;11.2778;21.6667;68;1011.89;3.1828;219;
1556375631;27/04/2019 14:33:51;11.1111;21.6667;70;1011.95;4.24374;232;
1556375691;27/04/2019 14:34:51;10.9444;21.1111;71;1012.12;6.3656;192;
1556375751;27/04/2019 14:35:51;10.7778;21.1111;71;1012.23;2.12187;129;
1556375811;27/04/2019 14:36:51;10.6667;21.1111;71;1012.12;2.12187;296;
1556375871;27/04/2019 14:37:51;10.5556;21.1111;69;1012.02;2.12187;267;
1556375931;27/04/2019 14:38:51;10.5;21.1111;70;1011.89;0;227;
1556375991;27/04/2019 14:39:51;10.4444;21.1111;73;1011.85;2.12187;208;
1556376051;27/04/2019 14:40:51;10.4444;20.5556;74;1011.92;4.24374;288;
1556376112;27/04/2019 14:41:52;10.3889;21.1111;73;1011.92;3.1828;232;
1556376172;27/04/2019 14:42:52;10.3333;21.1111;74;1011.92;3.1828;238;
1556376232;27/04/2019 14:43:52;10.3889;21.1111;78;1012.09;1.06093;241;
1556376292;27/04/2019 14:44:52;10.4444;21.1111;78;1012.06;3.1828;236;
1556376352;27/04/2019 14:45:52;10.5;21.1111;77;1011.99;2.12187;220;
1556376412;27/04/2019 14:46:52;10.4444;21.1111;75;1011.95;3.1828;232;
1556376472;27/04/2019 14:47:52;10.4444;21.1111;75;1011.95;2.12187;219;
1556376532;27/04/2019 14:48:52;10.4444;21.1111;74;1011.95;3.1828;243;
1556376592;27/04/2019 14:49:52;10.4444;21.1111;74;1011.85;3.1828;243;
1556376652;27/04/2019 14:50:52;10.4444;21.1111;76;1011.95;2.12187;252;
1556376712;27/04/2019 14:51:52;10.4444;21.1111;75;1011.92;3.1828;254;
1556376773;27/04/2019 14:52:53;10.4444;21.1111;75;1011.92;3.1828;213;
