TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1563134675;14/07/2019 20:04:35;32.7222;38.3333;47;1008.97;2.12187;189;
1563134735;14/07/2019 20:05:35;32.7222;38.3333;47;1008.94;7.42654;221;
1563134795;14/07/2019 20:06:35;32.7222;38.3333;47;1008.94;6.3656;360;
1563134855;14/07/2019 20:07:35;32.7222;38.3333;46;1008.84;2.12187;355;
1563134915;14/07/2019 20:08:35;32.7222;38.3333;46;1008.94;2.12187;292;
1563134976;14/07/2019 20:09:36;32.7778;38.3333;46;1008.81;3.1828;177;
1563135036;14/07/2019 20:10:36;32.7778;38.3333;47;1008.84;1.06093;206;
1563135096;14/07/2019 20:11:36;32.7778;38.3333;47;1008.84;2.12187;173;
1563135156;14/07/2019 20:12:36;32.7778;38.3333;47;1008.87;9.54841;278;
1563135216;14/07/2019 20:13:36;32.7778;38.3333;48;1008.87;6.3656;315;
1563135276;14/07/2019 20:14:36;32.6667;38.3333;49;1008.87;5.30467;311;
1563135336;14/07/2019 20:15:36;32.6111;38.3333;49;1008.87;6.3656;331;
1563135396;14/07/2019 20:16:36;32.5;37.7778;48;1008.84;6.3656;322;
1563135456;14/07/2019 20:17:36;32.4444;37.7778;48;1008.84;4.24374;211;
1563135516;14/07/2019 20:18:36;32.3889;37.7778;48;1008.91;7.42654;298;
1563135577;14/07/2019 20:19:37;32.3889;37.7778;48;1008.94;1.06093;190;
1563135637;14/07/2019 20:20:37;32.3889;37.7778;48;1008.87;1.06093;263;
1563135697;14/07/2019 20:21:37;32.5;37.7778;47;1008.87;2.12187;264;
1563135757;14/07/2019 20:22:37;32.5;37.7778;48;1008.77;2.12187;268;
1563135817;14/07/2019 20:23:37;32.5556;37.7778;47;1008.74;2.12187;302;
1563135877;14/07/2019 20:24:37;32.6667;37.7778;48;1008.77;3.1828;331;
1563135937;14/07/2019 20:25:37;32.7778;37.7778;47;1008.84;3.1828;304;
1563135997;14/07/2019 20:26:37;32.8889;37.7778;47;1008.77;3.1828;205;
1563136057;14/07/2019 20:27:37;32.9444;37.7778;48;1008.77;5.30467;303;
1563136117;14/07/2019 20:28:37;33;37.7778;47;1008.87;7.42654;224;
1563136177;14/07/2019 20:29:37;33.0556;37.7778;47;1008.91;1.06093;224;
1563136238;14/07/2019 20:30:38;33.0556;37.7778;48;1008.87;3.1828;269;
1563136298;14/07/2019 20:31:38;33.0556;37.7778;48;1008.91;5.30467;215;
1563136358;14/07/2019 20:32:38;33;37.7778;48;1008.91;6.3656;240;
1563136418;14/07/2019 20:33:38;32.8889;37.7778;48;1008.87;5.30467;220;
1563136478;14/07/2019 20:34:38;32.7778;37.7778;49;1008.84;2.12187;249;
1563136538;14/07/2019 20:35:38;32.6667;37.7778;49;1008.91;6.3656;38;
1563136598;14/07/2019 20:36:38;32.5556;37.7778;49;1008.91;2.12187;19;
1563136658;14/07/2019 20:37:38;32.5;37.7778;49;1008.94;3.1828;266;
1563136718;14/07/2019 20:38:38;32.3889;37.7778;48;1008.91;3.1828;262;
1563136778;14/07/2019 20:39:38;32.3333;37.7778;48;1008.91;5.30467;251;
1563136838;14/07/2019 20:40:38;32.2778;37.7778;48;1008.91;4.24374;221;
1563136899;14/07/2019 20:41:39;32.2778;37.7778;48;1008.84;3.1828;97;
1563136959;14/07/2019 20:42:39;32.2778;37.2222;48;1008.84;3.1828;289;
1563137019;14/07/2019 20:43:39;32.2778;37.2222;48;1008.97;3.1828;238;
1563137079;14/07/2019 20:44:39;32.3333;37.2222;47;1008.91;4.24374;161;
1563137139;14/07/2019 20:45:39;32.3333;37.2222;47;1008.91;7.42654;211;
1563137199;14/07/2019 20:46:39;32.3333;37.2222;47;1008.97;2.12187;220;
1563137259;14/07/2019 20:47:39;32.3333;37.2222;47;1008.97;3.1828;325;
1563137319;14/07/2019 20:48:39;32.3333;37.2222;47;1008.97;3.1828;281;
1563137379;14/07/2019 20:49:39;32.2778;37.2222;47;1009.01;2.12187;288;
1563137439;14/07/2019 20:50:39;32.2778;37.2222;47;1008.97;3.1828;219;
